kind	const	owner
76	pikachu_dengekidama	pikachu
77	pikachu_dengeki	pikachu
78	pikachu_kaminari	pikachu
79	pikachu_cloud	pikachu
80	pikachu_vortex	pikachu
81	pikachu_monsterball	pikachu
82	pikachu_specialupdummy	pikachu
83	luigi_fireball	luigi
84	luigi_dokan	luigi
85	luigi_obakyumu	luigi
86	luigi_plunger	luigi
87	captain_bluefalcon	captain
88	captain_falconpunch	captain
89	fox_blaster	fox
90	fox_blaster_bullet	fox
91	fox_illusion	fox
92	fox_arwing	fox
93	fox_reticle	fox
94	fox_arwingshot	fox
95	ness_pk_flash	ness
96	ness_pk_fire	ness
97	ness_pk_thunder	ness
98	ness_pk_starstorm	ness
99	ness_paula	ness
100	ness_poo	ness
101	ness_yoyo	ness
102	ness_yoyo_head	ness
103	peach_kassar	peach
104	peach_kinopio	peach
105	peach_kinopiospore	peach
106	daisy_kassar	daisy
107	daisy_kinopio	daisy
108	daisy_kinopiospore	daisy
109	koopa_breath	koopa
110	koopa_koopag	koopa
111	zelda_dein	zelda
112	zelda_dein_s	zelda
113	zelda_phantom	zelda
114	zelda_triforce	zelda
115	sheik_needle	sheik
116	sheik_needlehave	sheik
117	sheik_fusin	sheik
118	sheik_knife	sheik
119	gamewatch_food	gamewatch
120	gamewatch_rescue	gamewatch
121	gamewatch_parachute	gamewatch
122	gamewatch_panel	gamewatch
123	gamewatch_oil	gamewatch
124	gamewatch_octopus	gamewatch
125	gamewatch_normal_weapon	gamewatch
126	gamewatch_breath	gamewatch
127	gamewatch_entry	gamewatch
128	gamewatch_bomb	gamewatch
129	ganon_sword	ganon
130	ganon_beast	ganon
131	ganon_ganond	ganon
132	falco_blaster	falco
133	falco_blaster_bullet	falco
134	falco_illusion	falco
135	falco_arwing	falco
136	falco_reticle	falco
137	falco_arwingshot	falco
138	wario_wariobike	wario
139	wario_garlic	wario
140	wario_warioman	wario
141	metaknight_mantle	metaknight
142	metaknight_bunshin	metaknight
143	metaknight_fourwings	metaknight
144	pit_bow	pit
145	pit_bowarrow	pit
146	pit_chariot	pit
147	pit_horse	pit
148	pit_chariotsight	pit
149	szerosuit_paralyzer_bullet	szerosuit
150	szerosuit_whip	szerosuit
151	szerosuit_paralyzer	szerosuit
152	szerosuit_samusp	szerosuit
153	szerosuit_gunship	szerosuit
154	szerosuit_reticle	szerosuit
155	szerosuit_laser	szerosuit
156	szerosuit_whip2	szerosuit
157	pikmin_pikmin	pikmin
158	pikmin_dolfin	pikmin
159	pikmin_win1	pikmin
160	pikmin_win2	pikmin
161	pikmin_win3	pikmin
162	diddy_gun	diddy
163	diddy_barreljet	diddy
164	diddy_peanuts	diddy
165	diddy_explosion	diddy
166	diddy_barreljets	diddy
167	diddy_bunshin	diddy
168	diddy_dkbarrel	diddy
169	diddy_lock_on_cursor	diddy
170	dedede_jethammer	dedede
171	dedede_star_missile	dedede
172	dedede_star	dedede
173	dedede_gordo	dedede
174	dedede_shrine	dedede
175	dedede_waddledee	dedede
176	dedede_newdededehammer	dedede
177	dedede_mask	dedede
178	dedede_missile	dedede
179	ike_sword	ike
180	lucario_auraball	lucario
181	lucario_qigong	lucario
182	lucario_lucariom	lucario
183	robot_gyro	robot
184	robot_gyro_holder	robot
185	robot_beam	robot
186	robot_final_beam	robot
187	robot_hugebeam	robot
188	robot_narrowbeam	robot
189	robot_widebeam	robot
190	robot_mainlaser	robot
191	robot_hominglaser	robot
192	robot_homingtarget	robot
193	toonlink_boomerang	toonlink
194	toonlink_bow	toonlink
195	toonlink_bowarrow	toonlink
196	toonlink_hookshot	toonlink
197	toonlink_hookshot_hand	toonlink
198	toonlink_fairy	toonlink
199	toonlink_takt	toonlink
200	toonlink_pig	toonlink
201	wolf_blaster	wolf
202	wolf_blaster_bullet	wolf
203	wolf_illusion	wolf
204	wolf_wolfen	wolf
205	wolf_reticle	wolf
206	plizardon_breath	plizardon
207	plizardon_explosion	plizardon
208	plizardon_daimonji	plizardon
209	sonic_homingtarget	sonic
210	sonic_gimmickjump	sonic
211	sonic_supersonic	sonic
212	sonic_chaosemerald	sonic
213	purin_cap	purin
214	purin_monsterball	purin
215	mariod_drcapsule	mariod
216	mariod_drmantle	mariod
217	mariod_stethoscope	mariod
218	mariod_huge_capsule	mariod
219	mariod_capsuleblock	mariod
220	pichu_dengekidama	pichu
221	pichu_dengeki	pichu
222	pichu_kaminari	pichu
223	pichu_cloud	pichu
224	pichu_vortex	pichu
225	pichu_monsterball	pichu
226	pichu_specialupdummy	pichu
227	lucina_mask	lucina
228	pitb_bow	pitb
229	pitb_bowarrow	pitb
230	rosetta_tico	rosetta
231	rosetta_starpiece	rosetta
232	rosetta_ring	rosetta
233	rosetta_pointer	rosetta
234	rosetta_powerstar	rosetta
235	rosetta_meteor	rosetta
236	wiifit_hulahoop	wiifit
237	wiifit_sunbullet	wiifit
238	wiifit_balanceboard	wiifit
239	wiifit_wiibo	wiifit
240	wiifit_towel	wiifit
241	wiifit_silhouette	wiifit
242	wiifit_silhouettel	wiifit
243	littlemac_doclouis	littlemac
244	littlemac_sweatlittlemac	littlemac
245	littlemac_throwsweat	littlemac
246	littlemac_championbelt	littlemac
247	littlemac_littlemacg	littlemac
248	murabito_flowerpot	murabito
249	murabito_umbrella	murabito
250	murabito_bowling_ball	murabito
251	murabito_firework	murabito
252	murabito_slingshot	murabito
253	murabito_bullet	murabito
254	murabito_weeds	murabito
255	murabito_butterflynet	murabito
256	murabito_balloon	murabito
257	murabito_clayrocket	murabito
258	murabito_seed	murabito
259	murabito_sprout	murabito
260	murabito_tree	murabito
261	murabito_stump	murabito
262	murabito_sprinkling_water	murabito
263	murabito_helmet	murabito
264	murabito_tomnook	murabito
265	murabito_tommy	murabito
266	murabito_timmy	murabito
267	murabito_house	murabito
268	murabito_furniture	murabito
269	murabito_moneybag	murabito
270	murabito_beetle	murabito
271	palutena_godwing	palutena
272	palutena_explosiveflame	palutena
273	palutena_explosiveflame_reserve	palutena
274	palutena_autoaimbullet	palutena
275	palutena_autoreticle	palutena
276	palutena_reflectionboard	palutena
277	palutena_blackhole	palutena
278	palutena_beam	palutena
279	palutena_gate	palutena
280	reflet_book	reflet
281	reflet_window	reflet
282	reflet_thunder	reflet
283	reflet_elwind	reflet
284	reflet_gigafire	reflet
285	reflet_chrom	reflet
286	duckhunt_gunman	duckhunt
287	duckhunt_gunmanbullet	duckhunt
288	duckhunt_clay	duckhunt
289	duckhunt_can	duckhunt
290	duckhunt_reticle	duckhunt
291	duckhunt_kurofukuhat	duckhunt
292	duckhunt_finalduck	duckhunt
293	duckhunt_finalgunman	duckhunt
294	duckhunt_finalenemy	duckhunt
295	duckhunt_finaldog	duckhunt
296	duckhunt_finalbird	duckhunt
297	duckhunt_finalgrass	duckhunt
298	duckhunt_finalcan	duckhunt
299	duckhunt_grass	duckhunt
300	koopajr_hammer	koopajr
301	koopajr_picopicohammer	koopajr
302	koopajr_magichand	koopajr
303	koopajr_cannonball	koopajr
304	koopajr_kart	koopajr
305	koopajr_remainclown	koopajr
306	koopajr_shadowmario	koopajr
307	koopajr_batten	koopajr
308	shulk_dunban	shulk
309	shulk_riki	shulk
310	shulk_fiora	shulk
311	gekkouga_shuriken	gekkouga
312	gekkouga_water	gekkouga
313	gekkouga_tatami	gekkouga
314	gekkouga_moon	gekkouga
315	gekkouga_monsterball	gekkouga
316	gekkouga_bunshin	gekkouga
317	gekkouga_gekkougas	gekkouga
318	pacman_esa	pacman
319	pacman_trampoline	pacman
320	pacman_firehydrant	pacman
321	pacman_firehydrant_water	pacman
322	pacman_bigpacman	pacman
323	pacman_artisticpoint	pacman
324	pacman_fairy	pacman
325	rockman_rockbuster	rockman
326	rockman_crashbomb	rockman
327	rockman_rushcoil	rockman
328	rockman_leafshield	rockman
329	rockman_chargeshot	rockman
330	rockman_hardknuckle	rockman
331	rockman_blackhole	rockman
332	rockman_rockmanx	rockman
333	rockman_rockmandash	rockman
334	rockman_rockmanexe	rockman
335	rockman_shootingstarrockman	rockman
336	rockman_bruce	rockman
337	rockman_forte	rockman
338	rockman_leftarm	rockman
339	rockman_rightarm	rockman
340	rockman_airshooter	rockman
341	mewtwo_shadowball	mewtwo
342	mewtwo_bindball	mewtwo
343	mewtwo_mewtwom	mewtwo
344	mewtwo_search	mewtwo
345	mewtwo_psychobreak	mewtwo
346	mewtwo_escapeairdummy	mewtwo
347	ryu_hadoken	ryu
348	ryu_shinkuhadoken	ryu
349	ryu_sack	ryu
350	ken_hadoken	ken
351	ken_shinkuhadoken	ken
352	ken_shinryuken	ken
353	lucas_pk_freeze	lucas
354	lucas_pk_fire	lucas
355	lucas_pk_thunder	lucas
356	lucas_pk_starstorm	lucas
357	lucas_himohebi	lucas
358	lucas_himohebi2	lucas
359	lucas_doseitable	lucas
360	lucas_needle	lucas
361	lucas_kumatora	lucas
362	lucas_bonnie	lucas
363	roy_sword	roy
364	cloud_wave	cloud
365	cloud_fusionsword	cloud
366	bayonetta_specialn_bullet	bayonetta
367	bayonetta_wickedweavearm	bayonetta
368	bayonetta_wickedweaveleg	bayonetta
369	bayonetta_bat	bayonetta
370	bayonetta_gomorrah	bayonetta
371	bayonetta_hair	bayonetta
372	kamui_ryusensya	kamui
373	kamui_dragonhand	kamui
374	kamui_spearhand	kamui
375	kamui_waterdragon	kamui
376	kamui_waterstream	kamui
377	popo_condor	popo
378	popo_blizzard	popo
379	popo_rubber	popo
380	popo_iceshot	popo
381	popo_iceberg	popo
382	popo_iceberg_wind	popo
383	popo_iceberg_hit	popo
384	popo_whitebear	popo
385	pzenigame_water	pzenigame
386	pfushigisou_seed	pfushigisou
387	pfushigisou_leafcutter	pfushigisou
388	pfushigisou_vine	pfushigisou
389	inkling_inkbullet	inkling
390	inkling_splashbomb	inkling
391	inkling_squid	inkling
392	inkling_roller	inkling
393	inkling_rollerink	inkling
394	inkling_brush	inkling
395	inkling_blaster	inkling
396	inkling_slosher	inkling
397	inkling_splash	inkling
398	inkling_megaphonelaser	inkling
399	inkling_copy_inklinggun	inkling
400	inkling_copy_inklingtank	inkling
401	snake_rpg7	snake
402	snake_trenchmortar	snake
403	snake_trenchmortar_bullet	snake
404	snake_nikita	snake
405	snake_nikita_missile	snake
406	snake_cypher	snake
407	snake_c4	snake
408	snake_c4_switch	snake
409	snake_grenade	snake
410	snake_flare_grenades	snake
411	snake_reticle	snake
412	snake_reticle_cursor	snake
413	snake_lock_on_cursor	snake
414	snake_lock_on_cursor_ready	snake
415	snake_missile	snake
416	krool_backpack	krool
417	krool_crown	krool
418	krool_piratehat	krool
419	krool_blunderbuss	krool
420	krool_ironball	krool
421	krool_spitball	krool
422	younglink_boomerang	younglink
423	younglink_bow	younglink
424	younglink_bowarrow	younglink
425	younglink_hookshot	younglink
426	younglink_hookshot_hand	younglink
427	younglink_navy	younglink
428	younglink_milk	younglink
429	simon_whip	simon
430	simon_axe	simon
431	simon_cross	simon
432	simon_coffin	simon
433	simon_crystal	simon
434	simon_whip2	simon
435	simon_whiphand	simon
436	simon_whipwire	simon
437	simon_stake	simon
438	chrom_sword	chrom
439	ridley_breath	ridley
440	ridley_gunship	ridley
441	koopag_breath	koopag
442	gaogaen_rope	gaogaen
443	gaogaen_championbelt	gaogaen
444	gaogaen_monsterball	gaogaen
445	gaogaen_rope2	gaogaen
446	richter_whip	richter
447	richter_axe	richter
448	richter_cross	richter
449	richter_coffin	richter
450	richter_crystal	richter
451	richter_whip2	richter
452	richter_whiphand	richter
453	richter_whipwire	richter
454	richter_stake	richter
456	miienemyg_attackairf_bullet	miienemyg
457	miienemyg_rapidshot_bullet	miienemyg
458	ptrainer_ptrainer	ptrainer
459	ptrainer_mball	ptrainer
460	ptrainer_pzenigame	ptrainer
461	ptrainer_pfushigisou	ptrainer
462	ptrainer_plizardon	ptrainer
463	element_changer	element
464	element_diver	element
465	shizue_pot	shizue
466	shizue_umbrella	shizue
467	shizue_weeds	shizue
468	shizue_trafficsign	shizue
469	shizue_slingshot	shizue
470	shizue_bullet	shizue
471	shizue_balloon	shizue
472	shizue_butterflynet	shizue
473	shizue_office	shizue
474	shizue_tomnook	shizue
475	shizue_tommy	shizue
476	shizue_timmy	shizue
477	shizue_furniture	shizue
478	shizue_moneybag	shizue
479	shizue_picopicohammer	shizue
480	shizue_broom	shizue
481	shizue_cracker	shizue
482	shizue_bucket	shizue
483	shizue_pompon	shizue
484	shizue_swing	shizue
485	shizue_clayrocket	shizue
486	shizue_fishingrod	shizue
487	shizue_fishingline	shizue
488	packun_spikeball	packun
489	packun_poisonbreath	packun
490	packun_mario	packun
491	packun_bosspackun	packun
492	jack_doyle	jack
493	jack_fire	jack
494	jack_fire2	jack
495	jack_mona	jack
496	jack_wing	jack
497	jack_wirerope	jack
498	jack_windummy	jack
499	jack_bus	jack
500	jack_background	jack
501	brave_fireball	brave
502	brave_spark	brave
503	brave_lightning	brave
504	brave_tornado	brave
505	brave_explosion	brave
506	brave_flash	brave
507	brave_deathball	brave
508	brave_crash	brave
509	brave_sleep	brave
510	brave_blue	brave
511	buddy_pad	buddy
512	buddy_partner	buddy
513	buddy_bird	buddy
514	buddy_bigbird	buddy
515	buddy_bigbirdbase	buddy
516	buddy_bullet	buddy
517	buddy_piece	buddy
518	buddy_strings	buddy
519	buddy_horn	buddy
520	dolly_wave	dolly
521	dolly_burst	dolly
522	dolly_cap	dolly
523	dolly_fire	dolly
524	master_axe	master
525	master_bow	master
526	master_arrow1	master
527	master_arrow2	master
528	master_spear	master
529	master_sword	master
530	master_baton	master
531	master_background	master
532	master_sword2	master
533	master_swordflare	master
534	tantan_spiralleft	tantan
535	tantan_spiralright	tantan
536	tantan_punch1	tantan
537	tantan_punch2	tantan
538	tantan_punch3	tantan
539	tantan_ring	tantan
540	tantan_beam	tantan
541	tantan_ally1	tantan
542	tantan_ally2	tantan
543	tantan_ally3	tantan
544	tantan_ally4	tantan
545	tantan_ally5	tantan
546	tantan_ally6	tantan
547	tantan_allyarm1	tantan
548	tantan_allyarm2	tantan
549	tantan_allyarm3	tantan
550	tantan_allyarm5	tantan
551	tantan_allyarm6	tantan
552	tantan_allyarmbullet1	tantan
553	tantan_allyarmbullet2	tantan
554	tantan_allyarmbullet3	tantan
555	tantan_spiralsimple	tantan
556	tantan_gongfinal	tantan
557	tantan_spiralleftloupe	tantan
558	tantan_spiralrightloupe	tantan
559	pickel_wing	pickel
560	pickel_crack	pickel
561	pickel_trolley	pickel
562	pickel_rail	pickel
563	pickel_plate	pickel
564	pickel_stone	pickel
565	pickel_table	pickel
566	pickel_stuff	pickel
567	pickel_building	pickel
568	pickel_forge	pickel
569	pickel_scarier	pickel
570	pickel_sword	pickel
571	pickel_axe	pickel
572	pickel_pick	pickel
573	pickel_shovel	pickel
574	pickel_pushobject	pickel
575	pickel_entryobject	pickel
576	pickel_fishingrod	pickel
577	pickel_melt	pickel
578	pickel_fence	pickel
579	pickel_fire	pickel
580	pickel_maskfinal	pickel
581	pickel_pushfinal	pickel
582	edge_fire	edge
583	edge_flash	edge
584	edge_flare1	edge
585	edge_flare2	edge
586	edge_flaredummy	edge
587	edge_background	edge
588	eflame_esword	eflame
589	eflame_firepillar	eflame
590	eflame_blazepillar	eflame
591	eflame_windummy	eflame
592	eflame_winsword	eflame
593	elight_esword	elight
594	elight_bunshin	elight
595	elight_exprosiveshot	elight
596	elight_spreadbullet	elight
597	elight_meteor	elight
598	elight_beam	elight
599	elight_windummy	elight
600	elight_winsword	elight
601	demon_blaster	demon
602	demon_demonp	demon
603	demon_blasterchest	demon
604	demon_blasterhead	demon
605	demon_blasterwing	demon
606	trail_lockoncursor	trail
607	trail_fire	trail
608	trail_cloud	trail
609	trail_thunder	trail
610	trail_ice	trail
611	trail_beam	trail
612	trail_hole	trail
613	trail_box	trail
614	trail_flower	trail
615	term	term
