kind	offset	type	field	parent	default
4	0x01b0	u32	shape_type	map_collision_missile	
4	0x01b4	f32	up	map_collision_missile	2.4000001
4	0x01b8	f32	down	map_collision_missile	-2.4000001
4	0x01bc	f32	half_width	map_collision_missile	
4	0x01c0	u32	shape_type	map_collision_supermissile	
4	0x01c4	f32	up	map_collision_supermissile	
4	0x01c8	f32	down	map_collision_supermissile	
4	0x01cc	f32	half_width	map_collision_supermissile	
4	0x0218	u32	shape_type	map_collision_bomb	
4	0x021c	f32	up	map_collision_bomb	2.5
4	0x0220	f32	down	map_collision_bomb	-2.5
4	0x0224	f32	half_width	map_collision_bomb	2.5
4	0x0228	f32	final_a_vy0	param_private	0.5
4	0x022c	f32	final_a_ay	param_private	0.00999999978
4	0x0230	f32	final_a_vy_max	param_private	0.159999996
4	0x0234	f32	final_laser_ang_spd	param_private	0.129999995
4	0x0238	f32	final_laser_ang_max	param_private	10
4	0x023c	f32	final_laser_spd	param_private	
4	0x0240	i32	final_laser_time	param_private	150
4	0x0244	f32	final_laser_initial_distance	param_private	450
4	0x0248	f32	final_laser_max_distance	param_private	
4	0x024c	i32	final_ground_effect_interval_frame	param_private	20
4	0x0250	f32	final_ground_effect_margin_length	param_private	3
4	0x0254	f32	final_ground_effect_max_distance	param_private	30
4	0x0258	f32	final_ground_effect_offset_y	param_private	1.5
4	0x0260	hash40	gbeam_map_coll_joint	param_private	0
4	0x0268	f32	gbeam_map_coll_offset_x	param_private	5
4	0x026c	f32	gbeam_map_coll_offset_y	param_private	0
4	0x0270	f32	gbeam_map_coll_offset_z	param_private	0
4	0x02a8	u32	shape_type	map_collision_laser	
4	0x02ac	f32	up	map_collision_laser	2
4	0x02b0	f32	down	map_collision_laser	-2
4	0x02b4	f32	half_width	map_collision_laser	2
4	0x02b8	u32	shape_type	map_collision_laser2	
4	0x02bc	f32	up	map_collision_laser2	2
4	0x02c0	f32	down	map_collision_laser2	-2
4	0x02c4	f32	half_width	map_collision_laser2	2
5	0x00b0	i32	turn_count	jump_aerial	12
5	0x00b4	f32	turn_cont_value	jump_aerial	0.300000012
5	0x00b8	f32	damage_reaction_sub	jump_aerial	120
5	0x00bc	f32	damage_reaction_min	jump_aerial	60
5	0x00c0	i32	start_frame	catch_skip_data	16
5	0x00c4	i32	end_frame	catch_skip_data	26
5	0x00e0	i32	start_frame	catch_dash_data	10
5	0x00e4	i32	end_frame	catch_dash_data	21
5	0x0100	i32	start_frame	catch_turn_data	9
5	0x0104	i32	end_frame	catch_turn_data	19
5	0x0198	i32	burst_frame	special_hi_data	20
5	0x019c	u32	shape_type	map_collision_tamago	
5	0x01a0	f32	up	map_collision_tamago	4
5	0x01a4	f32	down	map_collision_tamago	-4
5	0x01a8	f32	half_width	map_collision_tamago	4
5	0x01e0	u32	shape_type	map_collision_star	
5	0x01e4	f32	up	map_collision_star	4
5	0x01e8	f32	down	map_collision_star	-4
5	0x01ec	f32	half_width	map_collision_star	4
5	0x01f0	f32	dash_speed_x	param_final	8
5	0x01f4	i32	dash_frame	param_final	10
5	0x01f8	i32	disable_cliff_stop_frame	param_final	4
5	0x01fc	f32	dash_end_brake_x	param_final	0.0900000036
5	0x0200	i32	hit_slow_mag	param_final	3
5	0x0204	i32	final_ready_frame	param_final	15
5	0x0208	i32	add_damage_start_frame	param_final	170
5	0x020c	i32	add_damage_frame	param_final	70
5	0x0210	f32	add_damage	param_final	30
5	0x0214	f32	final_smash_degree_min	param_final	35
5	0x0218	f32	final_smash_degree_max	param_final	55
5	0x021c	f32	yoshimob_scale	param_final	1
5	0x0220	f32	target_offset_x1	param_final	0
5	0x0224	f32	target_offset_y1	param_final	0
5	0x0228	f32	target_offset_z1	param_final	0
5	0x022c	f32	target_offset_x2	param_final	0
5	0x0230	f32	target_offset_y2	param_final	0
5	0x0234	f32	target_offset_z2	param_final	0
5	0x0238	f32	target_offset_x3	param_final	0
5	0x023c	f32	target_offset_y3	param_final	0
5	0x0240	f32	target_offset_z3	param_final	0
5	0x0244	i32	max_hit_num	param_final	3
6	0x0128	u32	shape_type	map_collision_rosettaticomissile	
6	0x012c	f32	up	map_collision_rosettaticomissile	2
6	0x0130	f32	down	map_collision_rosettaticomissile	-2
6	0x0134	f32	half_width	map_collision_rosettaticomissile	2
6	0x01b0	u32	shape_type	map_collision_finalcuttershot	
6	0x01b4	f32	up	map_collision_finalcuttershot	0.5
6	0x01b8	f32	down	map_collision_finalcuttershot	-0.5
6	0x01bc	f32	half_width	map_collision_finalcuttershot	0.5
6	0x01f0	f32	final_offset_x	param_private	15
6	0x01f4	f32	final_offset_y	param_private	0
6	0x01f8	f32	final_speed	param_private	1
6	0x01fc	f32	final_pos_interval_x	param_private	3
6	0x0200	i32	rosettaticomissile_interval_frame	param_private	80
6	0x0204	i32	throw_hi_stop_frame	param_private	8
6	0x0208	f32	clear_dance_offset_x	param_private	30
6	0x020c	f32	clear_dance_offset_z	param_private	-10
7	0x00f8	u32	shape_type	map_collision_blaster_bullet	
7	0x00fc	f32	up	map_collision_blaster_bullet	1
7	0x0100	f32	down	map_collision_blaster_bullet	-1
7	0x0104	f32	half_width	map_collision_blaster_bullet	10
7	0x0198	f32	final_start_vector	param_private	70
7	0x019c	f32	final_start_speed	param_private	4
7	0x01a0	f32	final_ready_speed_y	param_private	6
7	0x01a4	f32	final_vector_min	param_private	40
7	0x01a8	f32	final_vector_max	param_private	45
7	0x01ac	i32	final_ready_screen_effect_frame	param_private	69
7	0x01b0	i32	final_ready_frame	param_private	70
7	0x01b4	f32	final_camera_ofs_x	param_private	0
7	0x01b8	f32	final_camera_ofs_y	param_private	0
7	0x01bc	i32	final_zoom_in_frame	param_private	10
7	0x01c0	f32	final_zoom_in_rate	param_private	2
7	0x01c4	f32	final_reticle_offset_x	param_private	23
7	0x01c8	f32	final_reticle_offset_y	param_private	14
7	0x01cc	i32	final_hit_slow_mag	param_private	8
7	0x01d0	f32	final_target_scale	param_private	8
7	0x01d4	f32	final_target_offset_x_2	param_private	100
7	0x01d8	f32	final_target_offset_y_2	param_private	
7	0x01dc	f32	final_target_offset_z_2	param_private	
7	0x01e0	f32	final_target_offset_x_3	param_private	-100
7	0x01e4	f32	final_target_offset_y_3	param_private	
7	0x01e8	f32	final_target_offset_z_3	param_private	
8	0x0110	u32	shape_type	map_collision_dengekidama	
8	0x0114	f32	up	map_collision_dengekidama	2
8	0x0118	f32	down	map_collision_dengekidama	-2
8	0x011c	f32	half_width	map_collision_dengekidama	2
8	0x0120	u32	shape_type	map_collision_dengeki	
8	0x0124	f32	up	map_collision_dengeki	0.100000001
8	0x0128	f32	down	map_collision_dengeki	-0.100000001
8	0x012c	f32	half_width	map_collision_dengeki	
8	0x01a8	f32	final_dash_speed	param_private	8
8	0x01ac	i32	special_hi_guide_after_frame	param_private	3
8	0x01b0	i32	final_dash_cliff_no_stop_frame	param_private	6
8	0x01b4	f32	final_dash_end_brake_x	param_private	0.0900000036
8	0x01b8	f32	unk_21ec862be4	param_private	2
8	0x01bc	f32	final_ground_offset_y	param_private	20
8	0x01c0	f32	final_camera_dist	param_private	150
8	0x01c4	f32	final_base_fov	param_private	30
8	0x01c8	f32	final_min_fov	param_private	5
8	0x01cc	f32	final_min_fov_mul	param_private	6
8	0x01d0	f32	final_all_accel_y_mul	param_private	0.5
8	0x01d4	f32	unk_1b0d6fe99c	param_private	1
8	0x01d8	f32	final_center_dist_brake_meter	param_private	2
8	0x01dc	f32	final_center_dist_brake_x	param_private	0.200000003
8	0x01e0	f32	final_center_dist_brake_y	param_private	0.300000012
8	0x01e4	i32	final_vortex_frame	param_private	120
8	0x01e8	f32	final_vortex_speed	param_private	20
8	0x01ec	f32	unk_1dbb5c9580	param_private	10
8	0x01f0	f32	unk_20e60779f8	param_private	
9	0x00c8	f32	dummy	param_private	0
9	0x0118	u32	shape_type	map_collision_data_plunger	
9	0x011c	f32	up	map_collision_data_plunger	1
9	0x0120	f32	down	map_collision_data_plunger	-1
9	0x0124	f32	half_w	map_collision_data_plunger	2
9	0x01a0	u32	shape_type	map_collision_data_fireball	
9	0x01a4	f32	up	map_collision_data_fireball	0.200000003
9	0x01a8	f32	down	map_collision_data_fireball	-0.200000003
9	0x01ac	f32	half_w	map_collision_data_fireball	1
10	0x00b0	hash40	node	param_reflector	0
10	0x00b8	f32	limit	param_reflector	80
10	0x00bc	f32	offset_x	param_reflector	0
10	0x00c0	f32	offset_y	param_reflector	6
10	0x00c4	f32	offset_z	param_reflector	9
10	0x00c8	f32	size	param_reflector	10
10	0x00cc	f32	attack_mul	param_reflector	2
10	0x00d0	f32	speed_mul	param_reflector	2.5
10	0x00d4	f32	life_mul	param_reflector	0.5
10	0x00d8	i32	no_m_ball	param_reflector	0
10	0x00e0	f32	gravity	param_yoyo	5
10	0x00e4	f32	air_resist	param_yoyo	0.00999999978
10	0x00e8	f32	collision_size	param_yoyo	9.99999975e-05
10	0x00ec	f32	restitution_rate	param_yoyo	
10	0x00f0	f32	restitution_range	param_yoyo	
10	0x00f4	f32	head_collision_size	param_yoyo	1.60000002
10	0x00f8	f32	head_weight	param_yoyo	1000
10	0x00fc	f32	length_min_hi	param_yoyo	0.5
10	0x0100	f32	length_min_lw	param_yoyo	0.600000024
10	0x0104	f32	z_range	param_yoyo	0.200000003
10	0x0108	f32	head_accel	param_yoyo	1
10	0x010c	f32	head_speed_max	param_yoyo	100
10	0x0128	f32	rot_speed	param_yoyohead	30
10	0x012c	f32	gravity_accel	param_yoyohead	
10	0x0130	f32	gravity_acl_max	param_yoyohead	0.300000012
10	0x0134	i32	rot_speed_down_frame	param_yoyohead	20
10	0x0138	f32	rot_speed_brake	param_yoyohead	0.25
10	0x013c	f32	rot_speed_attack	param_yoyohead	10
10	0x0140	u32	shape_type	map_collision_yoyohead	
10	0x0144	f32	center_y	map_collision_yoyohead	0
10	0x0148	f32	radius	map_collision_yoyohead	1.70000005
10	0x0180	u32	shape_type	map_collision_pkflash	
10	0x0184	f32	center_y	map_collision_pkflash	0
10	0x0188	f32	radius	map_collision_pkflash	2
10	0x01c0	u32	shape_type	map_collision_pkfire	
10	0x01c4	f32	center_y	map_collision_pkfire	0
10	0x01c8	f32	radius	map_collision_pkfire	0.100000001
10	0x0218	u32	shape_type	map_collision_pkthunder	
10	0x021c	f32	center_y	map_collision_pkthunder	0
10	0x0220	f32	radius	map_collision_pkthunder	2
10	0x0240	f32	final_speed_y	param_private	0
10	0x0244	f32	interval_frame	param_private	23
10	0x0248	f32	interval_dec	param_private	0.5
10	0x024c	i32	capture_speed_disable_frame	param_private	6
11	0x0140	f32	final_height	param_final	200
11	0x0144	f32	final_initialfallspeed	param_final	0.75
11	0x0148	f32	final_fallacc	param_final	1
11	0x014c	f32	final_radius	param_final	50
11	0x0150	f32	final_clashspeedx	param_final	18.5
11	0x0154	f32	final_clashspeedy	param_final	4
11	0x0158	f32	blue_falcon_vector_min	param_final	42
11	0x015c	f32	blue_falcon_vector_max	param_final	60
11	0x0160	f32	blue_falcon_damage	param_final	0
11	0x0164	f32	final_clashbrakex	param_final	0
11	0x0168	f32	final_clashgravityacc	param_final	0
11	0x016c	f32	final_height	param_private	
11	0x0170	f32	final_initialfallspeed	param_private	0.75
11	0x0174	f32	final_fallacc	param_private	1
11	0x0178	f32	final_radius	param_private	
11	0x017c	f32	final_clashspeedx	param_private	
11	0x0180	f32	final_clashspeedy	param_private	4
11	0x0184	f32	blue_falcon_vector_min	param_private	
11	0x0188	f32	blue_falcon_vector_max	param_private	
11	0x018c	f32	blue_falcon_damage	param_private	0
11	0x0190	f32	final_clashbrakex	param_private	0
11	0x0194	f32	final_clashgravityacc	param_private	0
12	0x0158	i32	final_body_mul	param_private	17
12	0x015c	i32	final_body_mul_frame	param_private	200
12	0x0160	i32	final_wait_frame	param_private	90
12	0x0164	i32	final_body_div_frame	param_private	121
12	0x0168	f32	final_camera_range_add_front	param_private	75
12	0x016c	f32	final_camera_range_add_back	param_private	67.5
12	0x0170	f32	final_camera_range_add_top	param_private	200
12	0x0174	f32	final_camera_range_add_bottom	param_private	7.5
12	0x0178	i32	throw_hi_stop_frame	param_private	8
13	0x0170	f32	final_rot_speed_y	param_private	1
13	0x0174	f32	final_rot_speed_min	param_private	1
13	0x0178	f32	final_rot_speed_max	param_private	10
13	0x017c	f32	final_offset_x	param_private	0
13	0x0180	f32	final_offset_y	param_private	0
13	0x0184	f32	final_offset_z	param_private	0
13	0x0188	i32	final_peach_appear_num	param_private	3
13	0x018c	i32	final_peach_appear_interval	param_private	8
13	0x0190	i32	final_lot_delay_frame	param_private	600
13	0x0194	i32	uniq_float_float_frame	param_private	150
13	0x0198	f32	uniq_float_start_y	param_private	1.5
13	0x019c	f32	unk_23628e2e70	param_private	14
13	0x01a0	i32	smash_rate_pan	param_private	30
14	0x0170	f32	final_rot_speed_y	param_private	1
14	0x0174	f32	final_rot_speed_min	param_private	1
14	0x0178	f32	final_rot_speed_max	param_private	10
14	0x017c	f32	final_offset_x	param_private	0
14	0x0180	f32	final_offset_y	param_private	0
14	0x0184	f32	final_offset_z	param_private	0
14	0x0188	i32	final_peach_appear_num	param_private	3
14	0x018c	i32	final_peach_appear_interval	param_private	8
14	0x0190	i32	final_lot_delay_frame	param_private	600
14	0x0194	i32	uniq_float_float_frame	param_private	150
14	0x0198	f32	uniq_float_start_y	param_private	1.5
14	0x019c	f32	unk_23628e2e70	param_private	14
14	0x01a0	i32	smash_rate_pan	param_private	30
15	0x00b0	f32	reaction_value	param_private	19
15	0x00b4	f32	damage_air_brake	param_private	0.0799999982
15	0x00b8	i32	final_change_frame_koopag	param_private	30
15	0x00bc	i32	final_change_frame_koopa	param_private	30
15	0x00f0	u32	shape_type	map_collision_breath	
15	0x00f4	f32	up	map_collision_breath	2
15	0x00f8	f32	down	map_collision_breath	0
15	0x00fc	f32	half_width	map_collision_breath	1
15	0x0160	f32	center_y	camera_range_koopag	5
15	0x0164	f32	front	camera_range_koopag	20
15	0x0168	f32	back	camera_range_koopag	-20
15	0x016c	f32	up	camera_range_koopag	30
15	0x0170	f32	down	camera_range_koopag	-5
16	0x00e0	u32	shape_type	map_collision_needle	
16	0x00e4	f32	up	map_collision_needle	0.400000006
16	0x00e8	f32	down	map_collision_needle	0.100000001
16	0x00ec	f32	half_width	map_collision_needle	0.300000012
16	0x0120	f32	wire_bound_mul_y	unk_17c34e7ded	
16	0x0158	f32	dash_speed	param_private	13.5
16	0x015c	i32	max_count	param_private	2
16	0x0160	i32	dash_start_cliff_stop_frame	param_private	6
16	0x0164	f32	attack_pos_offset	param_private	10
16	0x0168	f32	attack_pos_speed	param_private	3
16	0x016c	f32	attack_pos_interval	param_private	10
16	0x0170	f32	attack_range_limit	param_private	30
16	0x0174	f32	finish_pos_offset	param_private	15
16	0x0178	f32	dash_end_brake_x	param_private	0.150000006
16	0x017c	f32	finish_capture_offset_x	param_private	15
16	0x0180	f32	finish_capture_offset_y	param_private	5
16	0x0184	f32	finish_capture_speed	param_private	3
17	0x0128	u32	shape_type	map_collision_dein	
17	0x012c	f32	up	map_collision_dein	2
17	0x0130	f32	down	map_collision_dein	-2
17	0x0134	f32	half_width	map_collision_dein	2
17	0x0180	u32	shape_type	map_collision_phantom	
17	0x0184	f32	up	map_collision_phantom	18
17	0x0188	f32	down	map_collision_phantom	0
17	0x018c	f32	half_width	map_collision_phantom	7
17	0x01c0	f32	speed_x_gg	jostle_data_phantom	0.699999988
17	0x01c4	f32	speed_x_ga	jostle_data_phantom	
17	0x01c8	f32	speed_x_ag	jostle_data_phantom	0.300000012
17	0x01cc	f32	speed_x_aa	jostle_data_phantom	
17	0x01d0	f32	speed_z	jostle_data_phantom	0.100000001
17	0x01d4	f32	pos_z_max	jostle_data_phantom	1.39999998
17	0x01d8	f32	center_x	jostle_data_phantom	3
17	0x01dc	f32	center_y	jostle_data_phantom	8
17	0x01e0	f32	width	jostle_data_phantom	14
17	0x01e4	f32	height	jostle_data_phantom	15
17	0x01e8	f32	push_speed	jostle_data_phantom	1.5
17	0x0208	f32	triforce_pos_x	param_private	20
17	0x020c	f32	triforce_pos_y	param_private	12
17	0x0210	f32	back_speed	param_private	1
17	0x0214	i32	triforce_life	param_private	240
17	0x0218	f32	damage_limit	param_private	100
17	0x021c	f32	delta_angle	param_triforce	1.5
17	0x0220	i32	expand_frame	param_triforce	30
17	0x0224	i32	inhale_frame	param_triforce	180
17	0x0228	f32	inhale_speed	param_triforce	2
17	0x022c	f32	inhale_speed_mul_max	param_triforce	1.5
17	0x0230	f32	inhale_range	param_triforce	150
17	0x0234	f32	inhale_range_mul_max	param_triforce	1
17	0x0238	i32	seal_frame	param_triforce	120
17	0x023c	f32	seal_damage	param_triforce	50.0999985
17	0x0240	i32	disappear_frame	param_triforce	30
18	0x00b0	f32	dummy	param_private	0
18	0x00b4	f32	attack_point	param_adjust	22
18	0x00b8	f32	move_point	param_adjust	-65
18	0x00f0	u32	shape_type	map_collision_data_drcapsule	
18	0x00f4	f32	center_y	map_collision_data_drcapsule	0
18	0x00f8	f32	radius	map_collision_data_drcapsule	1
19	0x0110	u32	shape_type	map_collision_dengekidama	
19	0x0114	f32	up	map_collision_dengekidama	2
19	0x0118	f32	down	map_collision_dengekidama	-2
19	0x011c	f32	half_width	map_collision_dengekidama	2
19	0x0120	u32	shape_type	map_collision_dengeki	
19	0x0124	f32	up	map_collision_dengeki	0.100000001
19	0x0128	f32	down	map_collision_dengeki	-0.100000001
19	0x012c	f32	half_width	map_collision_dengeki	
19	0x01a8	f32	final_dash_speed	param_private	9
19	0x01ac	i32	special_hi_guide_after_frame	param_private	3
19	0x01b0	i32	final_dash_cliff_no_stop_frame	param_private	6
19	0x01b4	f32	final_dash_end_brake_x	param_private	0.200000003
19	0x01b8	f32	unk_21ec862be4	param_private	2
19	0x01bc	f32	final_ground_offset_y	param_private	20
19	0x01c0	f32	final_camera_dist	param_private	150
19	0x01c4	f32	final_base_fov	param_private	30
19	0x01c8	f32	final_min_fov	param_private	5
19	0x01cc	f32	final_min_fov_mul	param_private	6
19	0x01d0	f32	final_all_accel_y_mul	param_private	0.5
19	0x01d4	f32	unk_1b0d6fe99c	param_private	1
19	0x01d8	f32	final_center_dist_brake_meter	param_private	2
19	0x01dc	f32	final_center_dist_brake_x	param_private	
19	0x01e0	f32	final_center_dist_brake_y	param_private	0.300000012
19	0x01e4	i32	final_vortex_frame	param_private	120
19	0x01e8	f32	final_vortex_speed	param_private	20
19	0x01ec	f32	unk_1dbb5c9580	param_private	10
19	0x01f0	f32	unk_20e60779f8	param_private	
20	0x00f8	u32	shape_type	map_collision_blaster_bullet	
20	0x00fc	f32	up	map_collision_blaster_bullet	1
20	0x0100	f32	down	map_collision_blaster_bullet	-1
20	0x0104	f32	half_width	map_collision_blaster_bullet	10
20	0x0180	f32	final_start_vector	param_private	70
20	0x0184	f32	final_start_speed	param_private	4
20	0x0188	f32	final_ready_speed_y	param_private	6
20	0x018c	f32	final_vector_min	param_private	65
20	0x0190	f32	final_vector_max	param_private	80
20	0x0194	f32	fire_fall_x_mul	param_private	
20	0x0198	i32	final_ready_frame	param_private	70
20	0x019c	f32	final_camera_ofs_x	param_private	0
20	0x01a0	f32	final_camera_ofs_y	param_private	0
20	0x01a4	i32	final_zoom_in_frame	param_private	10
20	0x01a8	f32	final_zoom_in_rate	param_private	2
20	0x01ac	f32	final_reticle_offset_x	param_private	23
20	0x01b0	f32	final_reticle_offset_y	param_private	14
20	0x01b4	i32	final_hit_slow_mag	param_private	8
20	0x01b8	f32	final_target_scale	param_private	8
20	0x01bc	f32	final_target_offset_x_2	param_private	100
20	0x01c0	f32	final_target_offset_y_2	param_private	
20	0x01c4	f32	final_target_offset_z_2	param_private	
20	0x01c8	f32	final_target_offset_x_3	param_private	-100
20	0x01cc	f32	final_target_offset_y_3	param_private	
20	0x01d0	f32	final_target_offset_z_3	param_private	
21	0x0128	f32	dash_speed	param_private	9
21	0x012c	i32	dash_frame	param_private	30
21	0x0130	f32	window_pos_y	param_private	10
21	0x0134	f32	window_offset	param_private	20
21	0x0138	f32	window_speed	param_private	0.0500000007
21	0x013c	i32	window_move_frame	param_private	40
21	0x0140	i32	window_frame	param_private	90
22	0x0128	f32	dash_speed	param_private	9
22	0x012c	i32	dash_frame	param_private	30
22	0x0130	f32	window_pos_y	param_private	10
22	0x0134	f32	window_offset	param_private	20
22	0x0138	f32	window_speed	param_private	0.0500000007
22	0x013c	i32	window_move_frame	param_private	40
22	0x0140	i32	window_frame	param_private	90
23	0x00b0	f32	air_lw_blank_time	param_private	30
23	0x00b4	i32	air_lw_max_hit	param_private	2
23	0x00b8	f32	wait_shield_scale_x	param_private	2.4000001
23	0x00bc	f32	wait_shield_scale_y	param_private	3.20000005
23	0x00c0	f32	wait_shield_scale_z	param_private	0.800000012
23	0x00c4	f32	unk_1affc51cec	param_private	1.13
23	0x00c8	f32	shield_guard_degree	param_private	90
23	0x00cc	f32	unk_1f4d90b6a0	param_private	20
23	0x00d0	hash40	hookshot_map_coll_joint	param_private	0
23	0x00d8	f32	hookshot_map_coll_offset_x	param_private	5
23	0x00dc	f32	hookshot_map_coll_offset_y	param_private	0
23	0x00e0	f32	hookshot_map_coll_offset_z	param_private	0
23	0x00e4	f32	final_catch_size	param_private	7
23	0x00e8	f32	final_chatch_dist	param_private	65
23	0x00ec	i32	final_rigid_frame	param_private	10
23	0x00f0	f32	final_dash_speed	param_private	8
23	0x00f4	i32	final_finale_end_frame	param_private	30
23	0x00f8	f32	final_fail_speed	param_private	3
23	0x00fc	f32	final_raise_speed	param_private	0.0500000007
23	0x01a8	u32	shape_type	map_collision_bowarrow	
23	0x01ac	f32	up	map_collision_bowarrow	0.100000001
23	0x01b0	f32	down	map_collision_bowarrow	-0.100000001
23	0x01b4	f32	half_width	map_collision_bowarrow	
24	0x0140	f32	offset_x	param_ganond	15
24	0x0144	f32	offset_y	param_ganond	0
24	0x0148	f32	speed	param_ganond	9.80000019
24	0x014c	f32	center_y	camera_range_ganond	20
24	0x0150	f32	front	camera_range_ganond	50
24	0x0154	f32	back	camera_range_ganond	-40
24	0x0158	f32	up	camera_range_ganond	30
24	0x015c	f32	down	camera_range_ganond	-20
24	0x0178	i32	dummy	param_private	0
25	0x00b0	f32	unk_1bdbdbd21f	param_private	1
25	0x00b4	f32	unk_1bacdce289	param_private	0.5
25	0x00b8	f32	unk_1b35d5b333	param_private	0
25	0x00f0	u32	shape_type	map_collision_shadowball	
25	0x00f4	f32	center_y	map_collision_shadowball	0
25	0x00f8	f32	radius	map_collision_shadowball	2
25	0x0178	u32	shape_type	map_collision_bindball	
25	0x017c	f32	up	map_collision_bindball	2
25	0x0180	f32	down	map_collision_bindball	-2
25	0x0184	f32	half_width	map_collision_bindball	2
25	0x01a0	u32	shape_type	map_collision_mewtwom	
25	0x01a4	f32	up	map_collision_mewtwom	4
25	0x01a8	f32	down	map_collision_mewtwom	4
25	0x01ac	f32	half_width	map_collision_mewtwom	0
26	0x0128	f32	window_pos_y	param_private	10
26	0x012c	f32	window_offset	param_private	20
