kind	name	root
137	pacmanmelon	item
138	pacmanboss	item
139	pacmanbell	item
140	pacmankey	item
141	poweresa	item
142	metalblade	item
143	wiifitball	item
144	log	item
145	doll	item
146	mechakoopa	item
147	wood	item
148	murabitofruit	item
149	kroolcrown	item
150	snakegrenade	item
151	snakecbox	item
152	younglinkbomb	item
153	daisydaikon	item
154	simonholywater	item
155	richterholywater	item
156	linkarrow	item
157	st_fruit	item
158	st_fruitbomb	item
159	pellet	item
160	st_crab	item
161	st_shell	item
162	st_ice_yasai	item
163	st_apple	item
164	st_usa_egg	item
165	st_yamabuki_egg	item
166	andross	assist
167	androssshot	assist
168	goroh	assist
169	waluigi	assist
170	stafy	assist
171	devil	assist
172	metroid	assist
173	hammerbros	assist
174	hammerbroshammer	assist
175	joe	assist
176	joeshot	assist
177	jeff	assist
178	jeffpencilbullet	assist
179	jeffpencilrocket	assist
180	shadow	assist
181	wright	assist
182	wrightbuil	assist
183	lin	assist
184	nintendogs	assist
185	nintendogshi	assist
186	midna	assist
187	motherbrain	assist
188	motherbrainshot	assist
189	motherbrainshot2	assist
190	eleka	assist
191	elekashot	assist
192	elekashot2	assist
193	elekashot3	assist
194	ghirahim	assist
195	ghirahimknife	assist
196	ghirahimknife2	assist
197	starman	assist
198	starmanomegabeam	assist
199	starmangammabeam	assist
200	sheriff	assist
201	sheriffshot	assist
202	skullkid	assist
203	ashley	assist
204	wanwan	assist
205	wanwanpile	assist
206	monsters	assist
207	monsterschild	assist
208	kawashima	assist
209	kawashimashot	assist
210	riki	assist
211	tvgame	assist
212	tvgameshot	assist
213	sable	assist
214	takamaru	assist
215	takamarushot	assist
216	nightmare	assist
217	jiro	assist
218	robin	assist
219	robinshot	assist
220	robinpress	assist
221	robinlift	assist
222	cyborg	assist
223	guile	assist
224	guileshot	assist
225	shiokarazu	assist
226	krystal	assist
227	krystalshot	assist
228	moon	assist
229	zero	assist
230	zeroshot	assist
231	alucard	assist
232	akira	assist
233	bomberman	assist
234	bombermanbombmanager	assist
235	bombermanbomb	assist
236	bombermanbomb2	assist
237	darkknight	assist
238	hebigarasu	assist
239	kawasaki	assist
240	kawasakipot	assist
241	kawasakishot	assist
242	lioleus	assist
243	lioleusshot	assist
244	shovelknight	assist
245	shovelknightshot	assist
246	shovelknightpitfall	assist
247	rodin	assist
248	rodinarmr	assist
249	rodinarml	assist
250	rodinarmstraight	assist
251	rodinarmupper	assist
252	knuckles	assist
253	kozukata	assist
254	kozukatasight	assist
255	kozukataghost	assist
256	sukapon	assist
257	sukaponshot	assist
258	baito	assist
259	baitocrane	assist
260	claptrap	assist
261	driver	assist
262	dossun	assist
263	springman	assist
264	springmanshot	assist
265	wilycapsule	assist
266	wilycapsuleshot	assist
267	wilycapsuleshot2	assist
268	wilycapsulewily	assist
269	flyandhand	assist
270	flyandhandfly	assist
271	vince	assist
272	tiki	assist
273	tikishot	assist
274	nikki	assist
275	nikkiillust1	assist
276	nikkiillust2	assist
277	nikkiillust3	assist
278	nikkiillust4	assist
279	nikkiillust5	assist
280	nikkiillust6	assist
281	nyarth	pokemon
282	nyarthshot	pokemon
283	marumine	pokemon
284	tosakinto	pokemon
285	hitodeman	pokemon
286	hitodemanshot	pokemon
287	kabigon	pokemon
288	togepy	pokemon
289	kireihana	pokemon
290	sirnight	pokemon
291	metagross	pokemon
292	fire	pokemon
293	mew	pokemon
294	entei	pokemon
295	suicune	pokemon
296	lugia	pokemon
297	lugiashot	pokemon
298	latiaslatios	pokemon
299	kyogre	pokemon
300	kyogreshot	pokemon
301	deoxys	pokemon
302	eievui	pokemon
303	yukinooh	pokemon
304	yayakoma	pokemon
305	kofuurai	pokemon
306	maaiika	pokemon
307	giratina	pokemon
308	giratinashot	pokemon
309	darkrai	pokemon
310	darkraishot	pokemon
311	zoroark	pokemon
312	meloetta	pokemon
313	meloettashot	pokemon
314	genesect	pokemon
315	genesectrapidshot	pokemon
316	tsutarja	pokemon
317	tsutarjashot	pokemon
318	mijumaru	pokemon
319	harimaron	pokemon
320	fokko	pokemon
321	fokkoshot	pokemon
322	gogoat	pokemon
323	peroppafu	pokemon
324	dedenne	pokemon
325	dedenneshot	pokemon
326	palkia	pokemon
327	arceus	pokemon
328	victini	pokemon
329	kyurem	pokemon
330	keldeo	pokemon
331	xerneas	pokemon
332	metamon	pokemon
333	rokona	pokemon
334	rokonashot	pokemon
335	nassya	pokemon
336	kiteruguma	pokemon
337	mimikkyu	pokemon
338	solgaleo	pokemon
339	lunala	pokemon
340	lunalashot	pokemon
341	rokon	pokemon
342	rokonshot	pokemon
343	raichua	pokemon
344	namakobushi	pokemon
345	togedemaru	pokemon
346	togedemarushot	pokemon
347	kasey	pokemon
348	kapukokeko	pokemon
349	kapukokekoshot	pokemon
350	marshadow	pokemon
351	hassam	pokemon
352	masterhand	boss
353	masterhandbullet	boss
354	masterhandironball	boss
355	masterhandpaintball	boss
356	masterhandchakram	boss
357	masterhandkenzan	boss
358	masterhandenergyshot	boss
359	masterhandsatellite	boss
360	masterhandsatelliteshot	boss
361	crazyhand	boss
362	crazyhandbomb	boss
363	crazyhandfire	boss
364	crazyhandsearchlight	boss
365	crazyhandgravityball	boss
366	crazyhandshockwave	boss
367	galleom	boss
368	galleommissile	boss
369	galleomshockwave	boss
370	ganonboss	boss
371	ganonbossshot	boss
372	ganonbossshot2	boss
373	dracula	boss
374	dracula3way	boss
375	draculastraight	boss
376	draculapillar	boss
377	draculafill	boss
378	draculabat	boss
379	dracula2	boss
380	dracula2fireshot	boss
381	dracula2homingshot	boss
382	dracula2shockwave	boss
383	dracula2squashshockwave	boss
384	marx	boss
385	marxcutter	boss
386	marxplantseed	boss
387	marxplantbody	boss
388	marxicebomb1	boss
389	marxicebomb2	boss
390	marxchaseeye	boss
391	marxeyelaser	boss
392	lioleusboss	boss
393	lioleusbossshot	boss
394	lioleusbossshot2	boss
395	lioleusbossbarrel	boss
396	lioleusbossbombhei	boss
397	lioleusbosssmartbomb	boss
398	koopag	boss+fighter
399	kiila	boss
400	kiilacrossbomb	boss
401	kiilacrushwing	boss
402	kiilalaser	boss
403	kiilasmartbomb	boss
404	kiilaexplodeshot1	boss
405	kiilaexplodeshot2	boss
406	kiilashockwave	boss
407	kiilastraightshot	boss
408	kiilacore	boss
409	kiilatorrent	boss
410	darz	boss
411	darzcrossbomb	boss
412	darzgatlingshot	boss
413	darztentacleshot	boss
414	darzspacerush	boss
415	darzspacerushstencil	boss
416	darztearup	boss
417	darzcentipede	boss
418	darzpillar	boss
419	darzpierce	boss
420	darztorrent	boss
421	kiiladarzmanager	boss
422	playable_masterhand	boss
423	playable_masterhandbullet	boss
424	playable_masterhandironball	boss
425	playable_masterhandchakram	boss
426	sandbaghr	item
427	homerunbathr	item
428	prizehr	item
429	buddybomb	item
430	pickelobject	item
431	pickelbomb	item
