offset	type	field	source
0x014c	f32	jump_speed_y_mul	common
0x0150	u32	jump_no_aerial_frame	common
0x0154	f32	jump_run_stick_y	common
0x0158	f32	air_speed_x_limit	common
0x015c	f32	air_speed_y_limit	common
0x0160	f32	fall_brake_x	common
0x0164	f32	fall_comp_mul	common
0x0168	f32	fall_neutral	common
0x016c	u32	dive_flick_frame_value	common
0x0170	f32	dive_cont_value	common
0x0174	f32	tread_jump_speed_dec	common
0x0178	f32	tread_jump_speed_limit	common
0x017c	u32	tread_attack_frame	common
0x0180	u32	tread_jump_after_xlu_frame	common
0x0184	u32	tread_jump_disable_frame	common
0x0188	u32	tread_jump_disable_frame_after_attack	common
0x018c	u32	jump_mini_button_frame	common
0x0190	f32	jostle_brake	common
0x0194	f32	jostle_pushed_brake	common
0x0198	f32	jostle_pushed_limit_speed	common
0x019c	f32	jostle_speed_attenuation_rate_min	common
0x01a0	f32	unk_24ac5df24f	common
0x01a4	f32	unk_24caf1aaf8	common
0x01a8	f32	jostle_speed_attenuation_rate_comp_rate	common
0x01ac	f32	unk_1e5d949000	common
0x01b0	f32	shield_max	common
0x01b4	f32	shield_scale_min	common
0x01b8	u32	shield_min_frame	common
0x01bc	f32	shield_dec1	common
0x01c0	f32	shield_recovery1	common
0x01c4	f32	shield_damage_mul	common
0x01c8	f32	shield_damage_add	common
0x01cc	f32	shield_setoff_add	common
0x01d0	f32	shield_setoff_mul	common
0x01d4	f32	shield_setoff_mul_fighter_shot	common
0x01d8	f32	shield_stiff_mul_attack_4	common
0x01dc	f32	shield_stiff_mul_attack_air	common
0x01e0	f32	shield_setoff_speed_mul	common
0x01e4	f32	shield_setoff_speed_max	common
0x01e8	f32	shield_rebound_speed_mul	common
0x01ec	f32	shield_rebound_speed_add	common
0x01f0	f32	shield_rebound_ground_brake	common
0x01f4	f32	shield_rebound_air_brake	common
0x01f8	f32	shield_ignore_capture_rate	common
0x01fc	u32	guard_off_cancel_frame	common
0x0200	u32	guard_off_enable_shield_frame	common
0x0204	u32	guard_off_disable_shield_recovery	common
0x0208	u32	shield_just_frame	common
0x020c	f32	unk_2cacbf2a63	common
0x0210	f32	just_shield_setoff_mul	common
0x0214	f32	just_shield_speed_rate	common
0x0218	u32	just_shield_precede_extension	common
0x021c	u32	continue_just_shield_count	common
0x0220	u32	furafura_stand_whole_hit_xlu_frame	common
0x0224	f32	shield_reset	common
0x0228	f32	shield_hop_angle	common
0x022c	f32	shield_comp_mul	common
0x0230	f32	shield_comp_reach_mul	common
0x0234	u32	shield_setoff_escape	common
0x0238	f32	unk_20d241cd64	common
0x023c	f32	unk_2434ca61df	common
0x0240	u32	guard_damage_just_shield_disable_frame	common
0x0244	f32	shield_stiff_frame_max	common
0x0248	u32	shield_break_xlu_frame	common
0x024c	u32	escape_flick_y	common
0x0250	f32	escape_stick_y	common
0x0254	u32	escape_fb_flick_x	common
0x0258	f32	escape_fb_stick_x	common
0x025c	u32	landing_frame_escape_air	common
0x0260	f32	escape_air_slide_stick	common
0x0264	f32	escape_air_slide_landing_speed_max	common
0x0268	u32	hit_stop_delay_flick	common
0x026c	f32	hit_stop_delay_stick	common
0x0270	f32	hit_stop_delay_flick_mul	common
0x0274	u32	hit_stop_delay_flick_frame	common
0x0278	u32	hit_stop_delay_flick_max_count	common
0x027c	u32	unk_256ea4745d	common
0x0280	f32	unk_2373146726	common
0x0284	u32	unk_29dae31932	common
0x0288	u32	unk_339a45c8eb	common
0x028c	f32	hit_stop_delay_auto_mul	common
0x0290	f32	hit_stop_delay_guard_mul	common
0x0294	f32	hit_stop_squat_mul	common
0x0298	u32	hit_stop_invalid_jostle_frame	common
0x029c	f32	attack_hit_slow_rate	common
0x02a0	f32	damage_reaction_mul_max	common
0x02a4	f32	damage_reaction_mul_max_damage	common
0x02a8	f32	damage_reaction_mul_min_damage	common
0x02ac	f32	damage_reaction_mul_min_ratio	common
0x02b0	f32	damage_reaction_mul_min_reaction	common
0x02b4	f32	damage_reaction_mul_max_reaction	common
0x02d0	f32	shield_pattern_power_mul	common
0x02d4	f32	attack_100_rebound_speed	common
0x02d8	f32	rebound_speed_no_cliff_stop	common
0x02dc	f32	attack_s3_stick_x	common
0x02e0	f32	attack_s3_stick_dir_hi	common
0x02e4	f32	attack_s3_stick_dir_lw	common
0x02e8	f32	attack_hi3_stick_y	common
0x02ec	f32	back_attack_hi3_stick_x	common
0x02f0	f32	attack_lw3_stick_y	common
0x02f4	f32	unk_1d2513544f	common
0x02f8	f32	attack_lw3_rebound_speed	common
0x02fc	u32	attack_lw3_rebound_frame	common
0x0300	f32	attack_s4_stick_dir_hi	common
0x0304	f32	attack_s4_stick_dir_lw	common
0x0308	u32	attack_hi4_flick_y	common
0x030c	f32	attack_hi4_stick_y	common
0x0310	u32	attack_lw4_flick_y	common
0x0314	f32	attack_lw4_stick_y	common
0x0318	f32	attack_air_neutral_x	common
0x031c	f32	attack_air_neutral_y	common
0x0320	f32	mini_jump_attack_mul	common
0x0324	u32	attack_jump_mini_attack_enable_frame	common
0x0328	u32	jump_mini_attack_enable_frame	common
0x032c	u32	landing_air_lasso_motion_rate	common
0x0330	u32	attack_air_lasso_enable_frame	common
0x0334	f32	unk_1ef72a672d	common
0x0338	u32	status_start_turn_frame	common
0x033c	f32	status_start_turn_stick_x	common
0x0340	f32	special_stick_x	common
0x0344	f32	special_stick_y	common
0x0348	u32	special_smash_flick_x	common
0x034c	u32	special_air_n_turn_frame	common
0x0350	u32	damage_drop_smash_ball	common
0x0354	u32	damage_drop_smash_ball_handicap	common
0x0358	f32	final_end_fall_speed_y	common
0x035c	f32	final_dash_check_degree	common
0x0360	u32	discretion_final_point_diff	common
0x0364	u32	unk_2937d404b4	common
0x0368	f32	discretion_final_rate	common
0x036c	f32	discretion_final_rate_add	common
0x0370	f32	discretion_final_rate_max	common
0x0374	u32	no_discretion_final_beat_count	common
0x0378	u32	final_air_flick_x	common
0x037c	f32	final_air_stick_x	common
0x0380	u32	final_air_turn_frame	common
0x0384	bool	special_command_life_max	common
0x0385	bool	special_command_ab_button_life	common
0x0388	f32	special_command_neutral_threshold	common
0x038c	bool	super_special_command_life_max	common
0x03a8	u32	catch_dash_frame	common
0x03ac	f32	catch_dash_brake_mul	common
0x03b0	u32	catch_turn_frame	common
0x03b4	u32	capture_cut_frame	common
0x03b8	f32	capture_cut_frame_damage	common
0x03bc	f32	capture_recovery	common
0x03c0	f32	capture_clatter_frame	common
0x03c4	f32	capture_cut_dist_x	common
0x03c8	f32	capture_cut_dist_y	common
0x03cc	f32	capture_cut_ground_speed	common
0x03d0	f32	capture_cut_brake_mul	common
0x03d4	u32	capture_cut_jump_button_count	common
0x03d8	f32	capture_cut_speed_x	common
0x03dc	f32	capture_cut_y	common
0x03e0	u32	catch_rebound_stop_frame	common
0x03e4	u32	catch_rebound_frame	common
0x03e8	f32	catch_rebound_speed_x	common
0x03ec	f32	catch_rebound_jump_speed_x	common
0x03f0	f32	catch_rebound_jump_y	common
0x03f4	u32	catch_rebound_jump_cancel_frame	common
0x03f8	u32	shield_setoff_catch_frame	common
0x03fc	u32	invalid_capture_frame	common
0x0400	f32	cliff_catch_cancel_stick_y	common
0x0404	u32	cliff_catch_move_frame	common
0x0408	u32	cliff_catch_time_quick	common
0x040c	f32	cliff_next_stick	common
0x0410	u32	cliff_no_catch_frame	common
0x0414	u32	damage_cliff_no_catch_frame	common
0x0418	u32	cliff_wait_air_xlu_max_frame	common
0x041c	u32	cliff_wait_air_xlu_max_air_frame	common
0x0420	u32	cliff_wait_damage_xlu_max_frame	common
0x0424	u32	cliff_wait_damage_xlu_max_damage	common
0x0428	u32	cliff_wait_xlu_min_frame	common
0x042c	f32	cliff_robbed_speed_x	common
0x0430	f32	cliff_robbed_speed_y	common
0x0434	u32	cliff_robbed_no_control_frame	common
0x0438	u32	cliff_release_disable_wall_jump_frame	common
0x043c	u32	air_lasso_catch_num	common
0x0440	u32	air_lasso_cliff_wait_frame	common
0x0444	f32	air_lasso_fall_hit_speed_diff	common
0x0448	u32	air_lasso_landing_frame	common
0x044c	u32	cliff_jump_disable_attack_frame	common
0x0450	f32	unk_2350989590	common
0x0454	f32	cliff_attack_ignore_boss_frame	common
0x0458	f32	cliff_climb_ignore_boss_frame	common
0x045c	f32	cliff_escape_ignore_boss_frame	common
0x0460	u32	cliff_max_count	common
0x0464	u32	unk_189f0b0c96	common
0x0468	u32	cliff_dive_flick_frame_value	common
0x046c	f32	cliff_dive_cont_value	common
0x04a0	u32	pass_flick_y	common
0x04a4	f32	pass_stick_y	common
0x04a8	f32	squat_pass_frame	common
0x04ac	f32	pass_to_ground_attack_frame	common
0x04b0	f32	pass_speed_y	common
0x04b4	f32	through_passable_ground_stick_y	common
0x04b8	u32	slip_wait_frame	common
0x04bc	f32	slip_damage_rate_max	common
0x04c0	f32	slip_damage_rate_min	common
0x04c4	u32	slip_damage_disable_frame	common
0x04c8	f32	down_frame	common
0x04cc	f32	stand_stick_y	common
0x04d0	f32	stand_fb_stick_x	common
0x04d4	u32	passive_trigger_frame	common
0x04d8	u32	no_rapid_frame_value	common
0x04dc	f32	passive_fb_cont_value	common
0x04e0	f32	passive_ground_damage_speed_mul	common
0x04e4	u32	passive_wall_stop_frame	common
0x04e8	u32	air_escape_passive_trigger_frame	common
0x04ec	f32	invalid_passive_speed	common
0x04f0	f32	stop_ceil_speed_x_mul	common
0x04f4	f32	stop_ceil_speed_y_mul	common
0x04f8	f32	stop_ceil_speed_x_stable_mul	common
0x04fc	f32	unk_158bb5418d	common
0x0500	u32	wall_jump_flick_x	common
0x0504	f32	wall_jump_stick_x	common
0x0508	u32	wall_jump_stop_frame	common
0x050c	f32	wall_jump_speed_dec	common
0x0510	f32	wall_jump_x_speed_dec	common
0x0514	u32	wall_jump_disable_cont_frame	common
0x0518	u32	wall_jump_disable_frame	common
0x051c	u32	wall_jump_interval_frame	common
0x0520	u32	attach_wall_frame	common
0x0524	f32	attach_wall_frame_mul	common
0x0528	f32	attach_wall_slant_max	common
0x052c	f32	attach_wall_slant_min	common
0x0530	f32	detach_wall_jump_x_mul	common
0x0534	u32	attach_wall_disable_frame	common
0x0538	u32	unk_2fd348dc85	common
0x053c	f32	unk_2e6937bde3	common
0x0540	f32	damage_ground_mul	common
0x0544	f32	damage_air_brake	common
0x0548	f32	damage_speed_composition_speed	common
0x054c	f32	damage_speed_composition_rate_max	common
0x0550	f32	damage_speed_composition_rate_min	common
0x0554	f32	damage_speed_no_cliff_stop	common
0x0558	f32	damage_speed_no_cliff_stop_guard	common
0x055c	f32	damage_speed_no_operation	common
0x0560	f32	damage_speed_landing	common
0x0564	f32	damage_speed_down	common
0x0568	u32	damage_down_damage_max_continue	common
0x056c	u32	unk_1e7a52eb8a	common
0x0570	f32	damage_fly_speed_y_mul_base_accel	common
0x0574	f32	damage_fly_speed_y_mul	common
0x0578	f32	damage_fly_correction_max	common
0x057c	f32	damage_fly_length_mul_max	common
0x0580	f32	damage_fly_length_mul_min	common
0x0584	u32	damage_pull_speed_intp_frame	common
0x0588	u32	back_damage_effective_frame	common
0x058c	f32	wall_damage_start_frame	common
0x0590	u32	damage_stop_motion_intp_frame	common
0x0594	u32	damage_air_stop_motion_intp_frame	common
0x0598	f32	unk_2f136d6218	common
0x059c	f32	unk_24417028a1	common
0x05a0	f32	unk_1ef2617d6a	common
0x05a4	f32	unk_255c556cd3	common
0x05a8	f32	damage_fix_gravity_accel	common
0x05ac	f32	damage_fix_gravity_speed_y_stable	common
0x05b0	u32	damage_fix_gravity_accel_frame	common
0x05b4	f32	damage_fly_attack_speed	common
0x05b8	u32	damage_fly_attack_frame	common
0x05bc	f32	damage_fly_escape_speed	common
0x05c0	u32	damage_fly_escape_frame	common
0x05c4	f32	damage_fly_reflect_speed	common
0x05c8	f32	damage_fly_reflect_speed_mul	common
0x05cc	f32	damage_fly_reflect_down_speed_mul	common
0x05d0	f32	damage_fly_reflect_down_speed_mul_damage	common
0x05d4	f32	damage_fly_reflect_d_speed	common
0x05d8	f32	damage_fly_reflect_d_speed_mul	common
0x05dc	f32	damage_fly_reflect_reaction_frame_mul	common
0x05e0	f32	damage_fly_reflect_stop_frame_rate	common
0x05e4	u32	damage_fly_reflect_stop_frame_min	common
0x05e8	u32	damage_fly_reflect_stop_frame_max	common
0x05ec	u32	wall_damage_motion_stop_start_frame	common
0x05f0	u32	damage_fly_reflect_xlu_frame	common
0x05f4	f32	damage_fly_reflect_check_frame	common
0x05f8	u32	damage_fly_reflect_disable_escape_frame	common
0x05fc	u32	damage_fly_reflect_max	common
0x0600	f32	damage_fly_coll_stop_slidable_length	common
0x0604	f32	unk_306edbf87b	common
0x0608	f32	dead_up_damage_speed	common
0x060c	f32	unk_29baab727b	common
0x0610	f32	dead_down_damage_speed	common
0x0614	u32	dead_rebirth_wait_frame	common
0x0618	u32	rebirth_move_frame	common
0x061c	u32	rebirth_move_frame_trainer	common
0x0620	u32	rebirth_move_frame_inkling	common
0x0624	u32	rebirth_wait_frame	common
0x0628	u32	rebirth_invincible_frame	common
0x062c	u32	unk_27768e17f0	common
0x0630	u32	rebirth_invincible_add_frame	common
0x0634	f32	loupe_damage_limit	common
0x0638	f32	loupe_damage	common
0x063c	u32	loupe_damage_interval	common
0x0640	f32	unk_26a11a0587	common
0x0644	f32	unk_25151f93e9	common
0x0648	f32	damage_knock_back_area_width_rate	common
0x064c	f32	damage_knock_back_hitstop_frame_rate	common
0x0650	f32	damage_knock_back_speed_x_rate	common
0x0654	f32	unk_1e6b5e39f0	common
0x0658	f32	unk_1a12ca7663	common
0x065c	f32	unk_2b4b8f1925	common
0x0660	f32	furafura_frame	common
0x0664	f32	furafura_recovery_frame	common
0x0668	f32	furafura_clatter_frame	common
0x066c	f32	damage_song_frame	common
0x0670	f32	damage_song_frame_bonus_reaction	common
0x0674	f32	damage_song_frame_bonus_damage	common
0x0678	f32	damage_song_frame_bonus_rank	common
0x067c	f32	damage_song_frame_bonus_handi	common
0x0680	f32	damage_song_recovery_frame	common
0x0684	f32	damage_song_clatter_frame	common
0x0688	f32	damage_song_fall_speed_limit	common
0x068c	f32	damage_sleep_fall_speed_y	common
0x0690	f32	damage_bind_frame	common
0x0694	f32	damage_bind_frame_bonus_reaction	common
0x0698	f32	damage_bind_frame_bonus_damage	common
0x069c	f32	damage_bind_frame_bonus_rank	common
0x06a0	f32	damage_bind_frame_bonus_handi	common
0x06a4	f32	damage_bind_recovery_frame	common
0x06a8	f32	damage_bind_clatter_frame	common
0x06ac	u32	invalid_bind_frame	common
0x06b0	f32	bury_frame	common
0x06b4	f32	bury_frame_bonus_reaction	common
0x06b8	f32	bury_frame_bonus_damage	common
0x06bc	f32	bury_frame_bonus_rank	common
0x06c0	f32	bury_frame_bonus_handi	common
0x06c4	f32	bury_recovery	common
0x06c8	f32	bury_clatter_frame	common
0x06cc	f32	bury_damage_reaction_sub	common
0x06d0	f32	bury_jump_y_speed_mul	common
0x06d4	f32	bury_jump_no_attack_frame_value	common
0x06d8	u32	bury_invalid_frame	common
0x06dc	u32	bury_down_frame	common
0x06e0	u32	bury_physics_invalid_frame	common
0x06e4	f32	damage_ice_frame_mul	common
0x06e8	f32	damage_ice_frame_damage_mul	common
0x06ec	f32	ice_damage_continue_frame_mul	common
0x06f0	u32	ice_damage_continue_max	common
0x06f4	f32	damage_ice_frame_max	common
0x06f8	f32	damage_ice_frame_recovery	common
0x06fc	f32	damage_ice_frame_recovery_clatter	common
0x0700	f32	damage_ice_frame_recovery_damage	common
0x0704	f32	damage_ice_damage_dec_mul	common
0x0708	f32	damage_ice_damage_reaction_dec_mul	common
0x070c	f32	damage_ice_damage_air_brake	common
0x0710	f32	damage_ice_fall_y_mul	common
0x0714	f32	add_ice_damage_mul	common
0x0718	f32	ice_damage_max	common
0x071c	u32	ice_damage_reset_frame	common
0x0720	u32	damage_ice_jump_stiff_frame	common
0x0724	u32	damage_ice_invalid_frame	common
0x0728	f32	damage_ice_reflect_speed_mul	common
0x072c	f32	damage_ice_reflect_break_speed	common
0x0730	f32	damage_ice_rot_speed_min	common
0x0734	f32	damage_ice_rot_speed_max	common
0x0738	f32	damage_ice_effect_radius	common
0x073c	u32	damage_turn_reverse_cont_frame	common
0x0740	f32	unk_26a5243ff4	common
0x0744	f32	unk_20a50442e7	common
0x0748	f32	unk_223d4a2992	common
0x074c	f32	unk_2747b09dbf	common
0x0750	f32	shouldered_frame_add	common
0x0754	f32	shouldered_frame_mul	common
0x0758	f32	unk_188226f196	common
0x075c	f32	unk_1c1d4e67b6	common
0x0760	f32	kirby_swallowed_offset_x	common
0x0764	f32	kirby_swallowed_offset_y	common
0x0768	f32	kirby_swallowed_speed_x	common
0x076c	f32	kirby_swallowed_speed_y	common
0x0770	f32	kirby_swallowed_comp_dist	common
0x0774	f32	kirby_swallowedthrown_clatter_recover	common
0x0778	f32	kirby_swallowedthrown_copy_star_frame	common
0x077c	f32	kirby_swallowedescape_speed_x	common
0x0780	f32	kirby_swallowedescape_speed_y	common
0x0784	f32	kirby_swallowedthrown_frame	common
0x0788	f32	damage_fly_ind_speed_max	common
0x078c	f32	damage_fly_ind_speed_min	common
0x0790	f32	damage_fly_ind_speed_succeed_mul	common
0x0794	f32	damage_fly_ind_weight_mul	common
0x0798	f32	marth_shield_breaker_damage_mul	common
0x079c	u32	ganon_special_s_reaction_frame	common
0x07a0	f32	ganon_special_s_fall_speed	common
0x07a4	f32	ganon_special_s_fall_hold_frame	common
0x07a8	f32	ganon_special_s_fall_clatter_frame	common
0x07ac	f32	ganon_special_s_fall_clatter_add_frame	common
0x07b0	f32	ganon_special_s_fall_clatter_add_frame_up_limit	common
0x07b4	f32	ganon_special_s_fall_clatter_add_frame_down_limit	common
0x07b8	f32	ganon_special_s_cut_speed_x	common
0x07bc	f32	ganon_special_s_cut_brake_x	common
0x07c0	f32	ganon_special_s_cut_speed_y	common
0x07c4	f32	ganon_special_s_cut_accel_y	common
0x07c8	u32	ganon_special_s_cut_cancel_frame	common
0x07cc	u32	ganon_special_s_passive_trigger_frame	common
0x07d0	f32	unk_2926d3af20	common
0x07d4	f32	mewtwo_thrown_reaction_frame_mul	common
0x07d8	u32	mewtwo_thrown_reaction_frame_max	common
0x07dc	f32	damage_bind_extra_frame	common
0x07e0	f32	damage_bind_extra_frame_bonus_reaction	common
0x07e4	f32	damage_bind_extra_frame_bonus_damage	common
0x07e8	f32	damage_bind_extra_frame_bonus_rank	common
0x07ec	f32	damage_bind_extra_frame_bonus_handi	common
0x07f0	f32	damage_bind_extra_recovery_frame	common
0x07f4	f32	damage_bind_extra_clatter_frame	common
0x07f8	f32	unk_254ef48ec6	common
0x07fc	f32	gamewatch_stock_icon_scale_max	common
0x0800	f32	unk_2572f9b19f	common
0x0804	f32	gamewatch_stock_icon_scale_min	common
0x0808	f32	bitten_frame	common
0x080c	f32	bitten_frame_extend_damage_mul	common
0x0810	f32	bitten_clatter_frame	common
0x0814	f32	laydown_no_action_frame	common
0x0818	f32	laydown_no_action_frame_max	common
0x081c	f32	laydown_damage_max	common
0x0820	f32	ike_final_damage_fly_speed	common
0x0824	f32	ike_final_offset_y	common
0x0828	f32	diddy_clung_frame	common
0x082c	f32	diddy_clung_damage_mul	common
0x0830	f32	diddy_clung_handicap_frame	common
0x0834	f32	diddy_clung_air_mul	common
0x0838	f32	diddy_clung_clatter_frame	common
0x083c	f32	dedede_swallowed_offset_x	common
0x0840	f32	dedede_swallowed_offset_y	common
0x0844	f32	dedede_swallowed_speed_x	common
0x0848	f32	dedede_swallowed_speed_y	common
0x084c	f32	dedede_swallowed_comp_dist	common
0x0850	f32	dedede_swallowedthrown_clatter_recover	common
0x0854	f32	unk_271637cd82	common
0x0858	f32	unk_289f33225f	common
0x085c	f32	unk_28e83412c9	common
0x0860	f32	unk_2ac7b91111	common
0x0864	f32	dedede_swallowedescape_speed_x	common
0x0868	f32	dedede_swallowedescape_speed_y	common
0x086c	f32	dedede_swallowedthrown_frame	common
0x0870	f32	dedede_swallowedthrown_clatter_frame	common
0x0874	f32	unk_25e72e042c	common
0x0878	f32	unk_216fd7d6e2	common
0x087c	f32	palutena_final_blackhole_motion_rate	common
0x0880	f32	lisire_frame	common
0x0884	f32	lisire_clatter_frame	common
0x0888	f32	lisire_clatter_invalid_damage	common
0x088c	f32	lisire_capture_cut_speed_x	common
0x0890	f32	lisire_capture_cut_speed_y	common
0x0894	f32	saving_damage_start_frame	common
0x0898	f32	saving_damage_base_frame	common
0x089c	f32	saving_damage_frame_lv2	common
0x08a0	f32	saving_damage_frame_lv3	common
0x08a4	f32	saving_damage_air_frame_lv2	common
0x08a8	f32	saving_damage_air_frame_lv3	common
0x08ac	u32	pierce_cut_frame	common
0x08b0	f32	pierce_cut_frame_damage	common
0x08b4	f32	pierce_recovery	common
0x08b8	f32	pierce_clatter_frame	common
0x08bc	f32	pierce_motion_rate	common
0x08c0	f32	rollerink_max_speed_x_mul	common
0x08c4	f32	rollerink_friction	common
0x08c8	u32	ridley_s_interpolate_frame	common
0x08cc	u32	ridley_s_base_frame	common
0x08d0	f32	ridley_s_damage_frame_mul	common
0x08d4	u32	ridley_s_max_frame	common
0x08d8	u32	ridley_s_min_frame	common
0x08dc	u32	ridley_s_recovery_frame	common
0x08e0	u32	ridley_s_clatter_frame	common
0x08e4	f32	ridley_s_dead_hop_y	common
0x08e8	f32	ridley_s_capture_cut_speed_mul	common
0x08ec	f32	stabbed_damage_start_frame	common
0x08f0	f32	stabbed_damage_base_frame	common
0x08f4	f32	stabbed_damage_frame	common
0x08f8	u32	stabbed_damage_comp_frame	common
0x08fc	f32	krool_swallowed_offset_x	common
0x0900	f32	krool_swallowed_offset_y	common
0x0904	f32	krool_swallowed_speed_x	common
0x0908	f32	krool_swallowed_speed_y	common
0x090c	f32	krool_swallowed_comp_dist	common
0x0910	f32	capture_fishingrod_cut_dist_x	common
0x0914	f32	capture_fishingrod_cut_dist_y	common
0x0918	u32	jack_final_finish_stop_frame	common
0x091c	u32	jack_final_effect_frame	common
0x0920	u32	jack_final_disable_color_blend_frame	common
0x0924	f32	jack_final_motion_rate	common
0x0928	f32	buddy_final_target_motion_rate	common
0x092c	f32	unk_29a409f389	common
0x0930	f32	buddy_final_target_scale_scene02	common
0x0934	f32	buddy_final_target_scale_scene04	common
0x0938	f32	dolly_super_special2_capture_cut_dist_x	common
0x093c	f32	dolly_super_special2_capture_cut_dist_y	common
0x0940	f32	dolly_final_motion_rate	common
0x0944	f32	master_final_target_motion_rate_scene03	common
0x0948	u32	cloud_final2_move_frame	common
0x094c	f32	demon_fist_down2_start_frame	common
0x0950	f32	demon_fist_down2_base_frame	common
0x0954	f32	demon_fist_down2_frame	common
0x0958	f32	demon_fist_down3_start_frame	common
0x095c	f32	demon_fist_down3_base_frame	common
0x0960	f32	demon_fist_down3_frame	common
0x0964	u32	demon_lw_interpolate_frame	common
0x0968	f32	unk_1c6b1d2d15	common
0x096c	u32	unk_1a99c94c70	common
0x0970	u32	ground_damage_disable_frame	common
0x0974	f32	ground_speed_inherit_limit	common
0x0978	f32	wind_air_brake	common
0x097c	f32	damage_fly_cloud_through_speed	common
0x0980	f32	damage_fly_cloud_through_out_speed_mul	common
0x0984	f32	ladder_stick_y	common
0x0988	u32	ladder_cancel_frame	common
0x098c	u32	no_ladder_frame	common
0x0990	f32	ladder_speed_u_max	common
0x0994	f32	ladder_speed_d_max	common
0x0998	f32	ladder_attack_speed_mul	common
0x099c	f32	ladder_jump_y_mul	common
0x09a0	u32	ladder_break_stick_frame	common
0x09a4	f32	ladder_break_stick_x	common
0x09a8	u32	unk_21cccfef4d	common
0x09ac	f32	swim_dive_speed_x_mul	common
0x09b0	f32	swim_dive_speed_y_mul	common
0x09b4	f32	swim_rise_accel_y	common
0x09b8	f32	swim_rise_stable_speed_y	common
0x09bc	f32	swim_accel_mul	common
0x09c0	f32	swim_speed_mul	common
0x09c4	f32	swim_brake	common
0x09c8	u32	swim_jump_charge_frame	common
0x09cc	f32	swim_jump_charge_accel_y	common
0x09d0	f32	swim_jump_speed_y_mul	common
0x09d4	u32	swim_jump_speed_y_dec_count	common
0x09d8	u32	swim_effect_interval_frame	common
0x09dc	u32	swim_drown_frame	common
0x09e0	f32	swim_drown_frame_dec_damage_rate	common
0x09e4	f32	swim_drown_speed_x_mul	common
0x09e8	u32	swim_drown_out_frame	common
0x09ec	f32	swim_drown_out_accel_y_mul	common
0x09f0	u32	swim_drown_effect_interval_frame	common
0x09f4	u32	fish_capture_cut_frame	common
0x09f8	f32	fish_capture_cut_frame_damage	common
0x09fc	f32	fish_capture_recovery	common
0x0a00	f32	fish_capture_clatter_frame	common
0x0a04	f32	fish_capture_motion_rate	common
0x0a08	u32	drum_cut_frame	common
0x0a0c	f32	drum_cut_frame_damage	common
0x0a10	f32	drum_recovery	common
0x0a14	f32	drum_clatter_frame	common
0x0a18	f32	tornado_gravity_accel	common
0x0a1c	f32	tornado_gravity_stable_speed	common
0x0a20	f32	pipe_scale	common
0x0a24	u32	pipe_scale_frame	common
