offset	type	field
0x0160	f32	tread_range_add_h
0x0164	f32	entry_stand_scale
0x0168	f32	cursor_offset_y
0x016c	u32	dead_rare_se_rate
0x0170	f32	special_s_brake
0x0174	f32	wind_resistance
0x0178	f32	height
0x017c	f32	expand_height
0x0180	f32	result_scale_mul
0x0188	hash40	bury_r_depth_node
0x0190	f32	bury_r_x_offset
0x0194	f32	bury_r_x_offset_robot
0x0198	f32	bury_r_y_offset
0x019c	f32	bury_r_rot_angle
0x01a0	f32	slope_top_angle_max
0x01a4	f32	slope_front_up_max
0x01a8	f32	slope_back_up_max
0x01ac	f32	slope_loose_angle
0x01b0	f32	passive_wall_x_speed
0x01b4	f32	passive_wall_jump_x_speed
0x01b8	f32	passive_wall_jump_y_speed
0x01bc	f32	wall_jump_enable_x_speed
0x01c0	f32	passive_ceil_x_speed
0x01c4	f32	damage_model_scale_x
0x01c8	f32	damage_model_scale_y
0x01cc	f32	damage_model_scale_z
0x01d0	u32	damage_model_no_hit_frame
0x01d4	f32	se_pitch_big
0x01d8	f32	se_pitch_small
0x01dc	f32	se_pitch_big_mushroom
0x01e0	f32	se_pitch_small_mushroom
0x01e4	f32	se_pitch_big_mushd
0x01e8	f32	se_pitch_small_mushd
0x01ec	f32	se_pitch_big_thunder
0x01f0	f32	se_pitch_small_thunder
0x01f4	u32	final_start_turn_frame
0x01f8	u32	scroll_rate_change_frame
0x01fc	f32	scroll_rate
0x0200	bool	unk_13e3bcfb18
0x0201	bool	unk_18f0607a99
0x0202	bool	unk_1408832504
0x0203	bool	dead_end_final
0x0204	f32	final_end_jump_y
0x0208	f32	charge_final_attack_mul
0x020c	f32	charge_final_attack_reaction_mul
0x0210	f32	star_scale
0x0214	u32	star_attack_power
0x0218	f32	egg_scale
0x021c	f32	egg_collision_offset_1_x
0x0220	f32	egg_collision_offset_1_y
0x0224	f32	egg_collision_offset_1_z
0x0228	f32	egg_collision_offset_2_x
0x022c	f32	egg_collision_offset_2_y
0x0230	f32	egg_collision_offset_2_z
0x0234	f32	egg_collision_size
0x0238	hash40	bitten_wario_adjust_scale_node
0x0240	f32	bitten_wario_adjust_scale_value
0x0248	hash40	palutena_autoaimbullet_target_node
0x0250	f32	palutena_autoaimbullet_target_offset_x
0x0254	f32	palutena_autoaimbullet_target_offset_y
0x0258	f32	palutena_autoaimbullet_target_offset_z
0x025c	f32	psychobreak_offset_y
0x0260	f32	damage_fall_center_offset_y
0x0264	f32	zelda_triforce_scale
0x0268	f32	zelda_triforce_offset_y
0x0270	hash40	ridley_stabbed_node
0x0278	f32	ridley_stabbed_offset_x
0x027c	f32	ridley_stabbed_offset_y
0x0280	f32	ridley_stabbed_offset_z
0x0284	f32	ridley_stabbed_rhombus_offset_y
0x0288	f32	gamewatch_stockicon_scale
0x028c	f32	packun_final_capture_offset_y
0x0290	f32	packun_final_capture_scale
0x0294	f32	unk_2ab2a23d0d
0x0298	f32	unk_2a3504f64e
0x029c	f32	jack_final_target_scale
0x02a0	f32	jack_final_target_rot_y
0x02a4	f32	jack_final_target_effect_offset_x
0x02a8	f32	jack_final_target_effect_offset_y
0x02ac	f32	jack_final_target_effect_offset_z
0x02b0	f32	buddy_final_target_offset_x
0x02b4	f32	buddy_final_target_offset_y
0x02b8	f32	buddy_final_target_offset_z
0x02bc	f32	buddy_final_target_scale
0x02c0	f32	dolly_super_special2_offset_x
0x02c4	f32	dolly_super_special2_offset_y
0x02c8	f32	dolly_super_special2_offset_z
0x02cc	f32	dolly_super_special2_offset_x_ground
0x02d0	f32	dolly_super_special2_offset_y_ground
0x02d4	f32	dolly_super_special2_offset_z_ground
0x02d8	f32	dolly_final_target_scene02_offset_x
0x02dc	f32	dolly_final_target_scene02_offset_y
0x02e0	f32	dolly_final_target_scene02_offset_z
0x02e4	f32	dolly_final_target_scene05_offset_x
0x02e8	f32	dolly_final_target_scene05_offset_y
0x02ec	f32	dolly_final_target_scene05_offset_z
0x02f0	f32	unk_294bf073a1
0x02f4	f32	unk_293cf74337
0x02f8	f32	unk_29a5fe128d
0x02fc	f32	master_final_target_offset_x
0x0300	f32	master_final_target_offset_y
0x0304	f32	master_final_target_offset_z
0x0308	hash40	tantan_dragon_beam_target_node
0x0310	f32	tantan_dragon_beam_target_offset_x
0x0314	f32	tantan_dragon_beam_target_offset_y
0x0318	f32	tantan_dragon_beam_target_offset_z
0x031c	f32	tantan_final_target_scene02_offset_x
0x0320	f32	tantan_final_target_scene02_offset_y
0x0324	f32	tantan_final_target_scene02_offset_z
0x0328	f32	tantan_final_target_scene03_offset_x
0x032c	f32	tantan_final_target_scene03_offset_y
0x0330	f32	tantan_final_target_scene03_offset_z
0x0338	hash40	pickel_trolley_catched_motion_kind
0x0340	f32	pickel_trolley_catched_motion_frame
0x0344	f32	pickel_trolley_catched_offset_x
0x0348	f32	pickel_trolley_catched_offset_y
0x034c	f32	pickel_trolley_catched_offset_z
0x0350	f32	pickel_trolley_catched_scale
0x0358	hash40	pickel_trolley_catched_scaling_node
0x0360	f32	pickel_trolley_catched_scaling_node_scale
0x0364	f32	pickel_trolley_catched_trolley_scale
0x0368	f32	pickel_trolley_catched_speed_x_on_catch_cut
0x036c	f32	pickel_trolley_catched_speed_y_on_catch_cut
0x0370	f32	pickel_final_target_scale
0x0374	u32	pickel_capture_fence_type
0x0378	f32	pickel_capture_fence_scale
0x037c	f32	pickel_capture_fence_offset_x
0x0380	f32	pickel_capture_fence_offset_y
0x0384	u32	unk_19f190006a
0x0388	hash40	edge_flare_node
0x0390	f32	edge_flare_offset_x
0x0394	f32	edge_flare_offset_y
0x0398	f32	edge_flare_offset_z
0x039c	f32	edge_flare_radius
0x03a0	f32	edge_flare_variable_x1
0x03a4	f32	edge_flare_variable_y1
0x03a8	f32	edge_flare_variable_x2
0x03ac	f32	edge_flare_variable_y2
0x03b0	f32	unk_2c816b267a
0x03b4	f32	demon_fist_down_start_frame
0x03b8	f32	demon_fist_down_base_frame
0x03bc	f32	demon_fist_down_frame
0x03c0	f32	demon_fist_down_stop_frame
0x03c8	hash40	demon_fist_down_motion_kind
0x03d0	f32	demon_fist_down_motion_frame
0x03d4	f32	demon_fist_down_comp_frame
0x03d8	hash40	trail_special_s_joint_id
0x03e0	hash40	trail_special_lw_rebound_ground
0x03e8	hash40	trail_special_lw_rebound_air
0x03f0	f32	trail_special_lw_rebound_fall_comp_frame
0x03f4	f32	trail_final_target_rotate_x
0x03f8	f32	trail_final_target_rotate_y
0x03fc	f32	trail_final_target_rotate_z
0x0400	f32	item_lift_accel_mul
0x0404	f32	item_lift_accel_add
0x0408	f32	item_lift_speed_max
0x040c	f32	throw_item_speed_mul
0x0410	f32	throw_item_power_mul
0x0414	f32	shoot_walk_accel_mul
0x0418	f32	shoot_walk_accel_add
0x041c	f32	shoot_walk_speed_max
0x0420	f32	shoot_dash_speed_f
0x0424	f32	shoot_dash_speed_b
0x0428	f32	item_range_front
0x042c	f32	item_range_front_max
0x0430	f32	item_range_back
0x0434	f32	item_range_h
0x0438	f32	item_range_air_front
0x043c	f32	item_range_air_back
0x0440	f32	item_range_air_h
0x0444	f32	item_grip_offset_x
0x0448	f32	item_grip_offset_y
0x044c	f32	item_grip_offset_z
0x0450	f32	item_grip_offset_rot_x
0x0454	f32	item_grip_offset_rot_y
0x0458	f32	item_grip_offset_rot_z
0x045c	f32	badge_scale
0x0460	f32	superleaftail_scale
0x0464	f32	backshield_offset_y
0x0468	f32	bossgalaga_offset_y
0x046c	f32	baitocrane_offset_y
0x0470	f32	driver_offset_x
0x0474	f32	driver_scale
0x0478	f32	effect_scale
0x047c	f32	common_effect_0_r
0x0480	f32	common_effect_0_g
0x0484	f32	common_effect_0_b
0x0488	hash40	damage_fly_smoke_node
0x0490	f32	damage_fly_smoke_offset_x
0x0494	f32	damage_fly_smoke_offset_y
0x0498	hash40	damage_fly_roll_smoke_node
0x04a0	f32	damage_fly_roll_smoke_offset_x
0x04a4	f32	damage_fly_roll_smoke_offset_y
0x04a8	hash40	fire_hit_size
0x04b0	hash40	ice_node
0x04b8	f32	ice_offset_y
0x04bc	f32	ice_offset_z
0x04c0	f32	ice_radius
0x04c4	f32	ice_jump_speed_y_mul
0x04c8	f32	ice_jump_speed_x
0x04d0	hash40	unk_1a786b5238
0x04d8	hash40	unk_2080da265f
0x04e0	hash40	unk_204850f761
0x04e8	f32	photo_camera_depth
0x04ec	f32	photo_camera_depth_ortho
0x04f0	f32	camera_range_center_y
0x04f4	f32	camera_range_front
0x04f8	f32	camera_range_back
0x04fc	f32	camera_range_up
0x0500	f32	camera_range_down
0x0504	f32	camera_range_2nd_center_y
0x0508	f32	camera_range_2nd_front
0x050c	f32	camera_range_2nd_back
0x0510	f32	camera_range_2nd_up
0x0514	f32	camera_range_2nd_down
0x0518	hash40	zoom_camera_range_center_y
0x0520	f32	zoom_camera_range_front
0x0524	f32	zoom_camera_range_back
0x0528	f32	zoom_camera_range_up
0x052c	f32	zoom_camera_range_down
0x0530	hash40	clip_sphere_node
0x0538	f32	clip_sphere_offset_x
0x053c	f32	clip_sphere_offset_y
0x0540	f32	clip_sphere_offset_z
0x0544	f32	clip_sphere_radius
0x0548	f32	pose_offset_y
0x054c	f32	dead_up_camera_hit_offset
0x0550	f32	dead_up_camera_hit_rot_min
0x0554	f32	dead_up_camera_hit_rot_max
0x0558	f32	dead_up_camera_hit_distance
0x055c	f32	dead_up_camera_hit_offset_y
0x0560	f32	finish_camera_zoom_mul
0x0564	f32	finish_camera_zoom_mul_thrown
0x0568	f32	critical_hit_camera_zoom_mul
0x0570	hash40	ladder_hand_node_1
0x0578	hash40	ladder_hand_node_2
0x0580	f32	ladder_range_offset_y
0x0584	f32	ladder_range_w
0x0588	f32	ladder_range_h
0x058c	bool	ladder_attack_lw_fall
0x0590	hash40	barrel_shoot_node
0x0598	f32	barrel_smoke_offset_y
0x05a0	hash40	barrel_attack_node
0x05a8	f32	barrel_attack_offset_x
0x05ac	f32	barrel_attack_offset_y
0x05b0	f32	barrel_attack_offset_z
0x05b4	f32	barrel_attack_size
0x05b8	bool	water_not_good
0x05bc	f32	dolly_stage_wall_fly_n_offset_x
0x05c0	f32	dolly_stage_wall_fly_n_offset_y
0x05c4	f32	dolly_stage_wall_fly_roll_offset_x
0x05c8	f32	dolly_stage_wall_fly_roll_offset_y
0x05cc	f32	dolly_stage_wall_wall_damage_offset_x
0x05d0	f32	dolly_stage_wall_wall_damage_offset_y
0x05d4	f32	dolly_stage_wall_check_dead_offset_x
0x05d8	f32	unk_2a23dea6e7
0x05dc	f32	damage_attack_size
0x05e0	u32	escape_air_landing_frame
0x05e4	bool	unk_17e10662a4
0x05e8	f32	fly_speed_y_mul
0x05ec	bool	attack_s4_turn
0x05ed	bool	unk_145620fd97
0x05ee	bool	unk_13042acb2d
0x05ef	bool	unk_12326f1f2a
0x05f0	bool	unk_187608007b
0x05f1	bool	unk_13cf982a55
0x05f4	u32	lw4_combo_max
0x05f8	f32	high_speed_dash_attack_offset_x
0x05fc	f32	high_speed_dash_attack_offset_y
0x0600	f32	high_speed_dash_attack_offset_z
0x0604	f32	item_range_offset_y
0x0608	f32	item_range_air_offset_y
0x060c	u32	size
0x0610	u32	skin_kind
0x0614	u32	metal_sound_level
0x0618	u32	bury_motion_height
0x061c	u32	bury_r_motion_height
0x0620	u32	attack_combo_type
0x0624	u32	aerial_type
