table_base	stride	offset	type	field	hash
0x59a08	0xf0	0x88	hash40	demon_thrown_f_joint	0x14b7da8d0e
0x59a08	0xf0	0x90	hash40	demon_thrown_lw_motion	0x16a808e6fa
0x59a08	0xf0	0x98	hash40	demon_thrown_lw_joint	0x1503a96cfd
0x59a08	0xf0	0xa0	hash40	demon_thrown_b_motion	0x1508423847
0x59a08	0xf0	0xa8	hash40	demon_thrown_b_joint	0x144395a91d
0x59a08	0xf0	0xb0	hash40	demon_thrown_command_motion	0x1b7d7e8938
0x59a08	0xf0	0xb8	hash40	demon_thrown_command_joint	0x1a15874adf
0x59a08	0xf0	0xc0	hash40	unk_1c32aa781a	0x1c32aa781a
0x59a08	0xf0	0xc8	hash40	unk_1b0cacf602	0x1b0cacf602
0x59a08	0xf0	0xd0	hash40	trail_thrown_f_motion	0x15fce715c2
0x59a08	0xf0	0xd8	hash40	trail_thrown_f_joint	0x14320d7d0b
0x59a08	0xf0	0xe0	hash40	trail_thrown_hi_motion	0x165c1f1761
0x59a08	0xf0	0xe8	hash40	trail_thrown_hi_joint	0x15c0eda6eb
